"id","cat","title","song_name","path","song_img_path","date"
"1","EP","NewJeans 1st EP 'New Jeans'","Attention","/audio/NewJeans 1st EP 'New Jeans'/Attention.mp3","/images/NewJeans 1st EP 'New Jeans'/cover.jpg","2022-08-29 22:00:00"
"2","EP","NewJeans 1st EP 'New Jeans'","Cookie","/audio/NewJeans 1st EP 'New Jeans'/Cookie.mp3","/images/NewJeans 1st EP 'New Jeans'/cover.jpg","2022-08-29 22:00:00"
"3","EP","NewJeans 1st EP 'New Jeans'","Hurt","/audio/NewJeans 1st EP 'New Jeans'/Hurt.mp3","/images/NewJeans 1st EP 'New Jeans'/cover.jpg","2022-08-29 22:00:00"
"4","EP","NewJeans 1st EP 'New Jeans'","Hype Boy","/audio/NewJeans 1st EP 'New Jeans'/Hype Boy.mp3","/images/NewJeans 1st EP 'New Jeans'/cover.jpg","2022-08-29 22:00:00"
"5","Single","NewJeans'OMG'","OMG","/audio/NewJeans'OMG'/OMG.mp3","/images/NewJeans'OMG'/cover.jpg","2023-02-02 22:00:00"
"6","Single","NewJeans'OMG'","Ditto","/audio/NewJeans'OMG'/Ditto.mp3","/images/NewJeans'OMG'/cover.jpg","2022-12-19 22:00:00"
"7","Single","Zero","Zero","/audio/Zero/Zero.mp3","/images/Zero/cover.jpg","2023-04-03 22:00:00"
"8","Single","Be Who You Are (Real Magic)","Be Who You Are (Real Magic)","/audio/Be Who You Are (Real Magic)/Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo).mp3
","/images/Be Who You Are (Real Magic)/cover.jpg","2023-05-31 22:00:00"
"9","Single","Zero (J.I.D Remix)","Zero (J.I.D Remix)","/audio/Zero (J.I.D Remix)/Zero (J.I.D Remix).mp3","/images/Zero/cover.jpg","2023-06-21 22:00:00"
"10","Single","NewJeans 2nd EP 'Super Shy'","New Jeans","/audio/NewJeans 2nd EP 'Super Shy'/New Jeans.mp3","/images/NewJeans 2nd EP 'Super Shy'/cover.jpg","2023-07-21 22:00:00"
"11","Single","NewJeans 2nd EP 'Super Shy'","Super Shy","/audio/NewJeans 2nd EP 'Super Shy'/Super Shy.mp3","/images/NewJeans 2nd EP 'Super Shy'/cover.jpg","2023-07-21 22:00:00"
"12","Single","NewJeans 2nd EP 'Super Shy'","ASAP","/audio/NewJeans 2nd EP 'Super Shy'/ASAP.mp3","/images/NewJeans 2nd EP 'Super Shy'/cover.jpg","2023-07-07 22:00:00"
"13","Single","NewJeans 2nd EP 'Super Shy'","Cool With You","/audio/NewJeans 2nd EP 'Super Shy'/Cool With You.mp3","/images/NewJeans 2nd EP 'Super Shy'/cover.jpg","2023-07-07 22:00:00"
"14","Single","NewJeans 2nd EP 'Super Shy'","ETA","/audio/NewJeans 2nd EP 'Super Shy'/ETA.mp3","/images/NewJeans 2nd EP 'Super Shy'/cover.jpg","2023-07-07 22:00:00"
"15","Single","NewJeans 2nd EP 'Super Shy'","Get Up","/audio/NewJeans 2nd EP 'Super Shy'/Get Up.mp3","/images/NewJeans 2nd EP 'Super Shy'/cover.jpg","2023-07-07 22:00:00"
"16","Single","Gods","Gods","/audio/Gods/GODS.mp3","/images/Gods/cover.jpg","2023-10-04 22:00:00"
"17","EP","How Sweet","How Sweet","/audio/How Sweet/How Sweet.mp3","/images/How Sweet/cover.jpg","2024-05-24 22:00:00"
"18","EP","How Sweet","Bubble Gum","/audio/How Sweet/Bubble Gum.mp3","/images/How Sweet/cover.jpg","2024-05-24 22:00:00"
"19","EP","How Sweet","Bubble Gum (Instrumental)","/audio/How Sweet/Bubble Gum (Instrumental).mp3","/images/How Sweet/cover.jpg","2024-05-24 22:00:00"
"20","EP","How Sweet","How Sweet (Instrumental)","/audio/How Sweet/How Sweet (Instrumental).mp3","/images/How Sweet/cover.jpg","2024-05-24 22:00:00"

"21","EP","Supernatural","Supernatural","/audio/Supernatural/Supernatural.mp3","/images/Supernatural/cover.jpg","2024-06-21 22:00:00"
"22","EP","Supernatural","Right Now","/audio/Supernatural/Right Now.mp3","/images/Supernatural/cover.jpg","2024-06-21 22:00:00"
"23","EP","Supernatural","Right Now (Instrumental)","/audio/Supernatural/Right Now (Instrumental).mp3","/images/Supernatural/cover.jpg","2024-06-21 22:00:00"
"24","EP","Supernatural","Supernatural (Instrumental)","/audio/Supernatural/Supernatural (Instrumental).mp3","/images/Supernatural/cover.jpg","2024-06-21 22:00:00"
